age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,Contacts_during_the_Campaign,Previous_Outcome,Desired_Target,Desired_Target_Num,state
56,housemaid,married,basic.4y,no,no,no,telephone,May,Monday,261,1,nonexistent,Not Subscribed,1,New South Wales
57,services,married,high.school,unknown,no,no,telephone,May,Monday,149,1,nonexistent,Not Subscribed,1,New South Wales
37,services,married,high.school,no,yes,no,telephone,May,Monday,226,1,nonexistent,Not Subscribed,1,New South Wales
40,admin.,married,basic.6y,no,no,no,telephone,May,Monday,151,1,nonexistent,Not Subscribed,1,Victoria
56,services,married,high.school,no,no,yes,telephone,May,Monday,307,1,nonexistent,Not Subscribed,1,Northern Territory
45,services,married,basic.9y,unknown,no,no,telephone,May,Monday,198,1,nonexistent,Not Subscribed,1,Victoria
59,admin.,married,professional.course,no,no,no,telephone,May,Monday,139,1,nonexistent,Not Subscribed,1,Victoria
41,blue-collar,married,unknown,unknown,no,no,telephone,May,Monday,217,1,nonexistent,Not Subscribed,1,Tasmania
24,technician,single,professional.course,no,yes,no,telephone,May,Monday,380,1,nonexistent,Not Subscribed,1,New South Wales
25,services,single,high.school,no,yes,no,telephone,May,Monday,50,1,nonexistent,Not Subscribed,1,South Australia
41,blue-collar,married,unknown,unknown,no,no,telephone,May,Monday,55,1,nonexistent,Not Subscribed,1,New South Wales
25,services,single,high.school,no,yes,no,telephone,May,Monday,222,1,nonexistent,Not Subscribed,1,New South Wales
29,blue-collar,single,high.school,no,no,yes,telephone,May,Monday,137,1,nonexistent,Not Subscribed,1,New South Wales
57,housemaid,divorced,basic.4y,no,yes,no,telephone,May,Monday,293,1,nonexistent,Not Subscribed,1,New South Wales
35,blue-collar,married,basic.6y,no,yes,no,telephone,May,Monday,146,1,nonexistent,Not Subscribed,1,New South Wales
54,retired,married,basic.9y,unknown,yes,yes,telephone,May,Monday,174,1,nonexistent,Not Subscribed,1,Victoria
35,blue-collar,married,basic.6y,no,yes,no,telephone,May,Monday,312,1,nonexistent,Not Subscribed,1,New South Wales
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,May,Monday,440,1,nonexistent,Not Subscribed,1,Queensland
50,blue-collar,married,basic.9y,no,yes,yes,telephone,May,Monday,353,1,nonexistent,Not Subscribed,1,Victoria
39,management,single,basic.9y,unknown,no,no,telephone,May,Monday,195,1,nonexistent,Not Subscribed,1,Western Australia
30,unemployed,married,high.school,no,no,no,telephone,May,Monday,38,1,nonexistent,Not Subscribed,1,Victoria
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,May,Monday,262,1,nonexistent,Not Subscribed,1,Queensland
55,retired,single,high.school,no,yes,no,telephone,May,Monday,342,1,nonexistent,Not Subscribed,1,Victoria
41,technician,single,high.school,no,yes,no,telephone,May,Monday,181,1,nonexistent,Not Subscribed,1,Queensland
37,admin.,married,high.school,no,yes,no,telephone,May,Monday,172,1,nonexistent,Not Subscribed,1,Victoria
35,technician,married,university.degree,no,no,yes,telephone,May,Monday,99,1,nonexistent,Not Subscribed,1,New South Wales
59,technician,married,unknown,no,yes,no,telephone,May,Monday,93,1,nonexistent,Not Subscribed,1,Victoria
39,self-employed,married,basic.9y,unknown,no,no,telephone,May,Monday,233,1,nonexistent,Not Subscribed,1,New South Wales
54,technician,single,university.degree,unknown,no,no,telephone,May,Monday,255,2,nonexistent,Not Subscribed,1,New South Wales
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,May,Monday,362,1,nonexistent,Not Subscribed,1,Queensland
46,admin.,married,unknown,no,no,no,telephone,May,Monday,348,1,nonexistent,Not Subscribed,1,New South Wales
59,technician,married,unknown,no,yes,no,telephone,May,Monday,386,1,nonexistent,Not Subscribed,1,Western Australia
49,blue-collar,married,unknown,no,no,no,telephone,May,Monday,73,1,nonexistent,Not Subscribed,1,New South Wales
54,management,married,basic.4y,unknown,yes,no,telephone,May,Monday,230,1,nonexistent,Not Subscribed,1,Western Australia
54,blue-collar,divorced,basic.4y,no,no,no,telephone,May,Monday,208,1,nonexistent,Not Subscribed,1,New South Wales
55,unknown,married,basic.4y,unknown,yes,no,telephone,May,Monday,336,1,nonexistent,Not Subscribed,1,New South Wales
34,services,married,high.school,no,no,no,telephone,May,Monday,365,1,nonexistent,Not Subscribed,1,Victoria
52,technician,married,basic.9y,no,yes,no,telephone,May,Monday,1666,1,nonexistent,Not Subscribed,1,Queensland
41,admin.,married,university.degree,no,yes,no,telephone,May,Monday,577,1,nonexistent,Not Subscribed,1,New South Wales
56,technician,married,basic.4y,no,yes,no,telephone,May,Monday,137,1,nonexistent,Not Subscribed,1,New South Wales
58,management,unknown,university.degree,no,yes,no,telephone,May,Monday,366,1,nonexistent,Not Subscribed,1,New South Wales
32,entrepreneur,married,high.school,no,yes,no,telephone,May,Monday,314,1,nonexistent,Not Subscribed,1,Queensland
38,admin.,single,professional.course,no,no,no,telephone,May,Monday,160,1,nonexistent,Not Subscribed,1,New South Wales
57,admin.,married,university.degree,no,no,yes,telephone,May,Monday,212,1,nonexistent,Not Subscribed,1,Victoria
44,admin.,married,university.degree,unknown,yes,no,telephone,May,Monday,188,1,nonexistent,Not Subscribed,1,Victoria
