,country,food_category,total_consumption,total_co2_emission,states
0,Albania,Beef,22.5,694.3,Europe
1,Albania,Eggs,12.45,11.44,Europe
2,Albania,Fish,3.85,6.15,Europe
3,Albania,Lamb & Goat,15.32,536.5,Europe
4,Albania,Milk - inc. cheese,303.72,432.62,Europe
5,Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72,Europe
6,Albania,Pork,10.88,38.51,Europe
7,Albania,Poultry,13.23,14.21,Europe
8,Albania,Rice,7.78,9.96,Europe
9,Albania,Soybeans,0.0,0.0,Europe
10,Albania,Wheat and Wheat Products,138.64,26.44,Europe
11,Algeria,Beef,5.6,172.8,Africa
12,Algeria,Eggs,8.06,7.4,Africa
13,Algeria,Fish,3.74,5.970000000000001,Africa
14,Algeria,Lamb & Goat,7.689999999999999,269.3,Africa
15,Algeria,Milk - inc. cheese,141.53,201.6,Africa
16,Algeria,Nuts inc. Peanut Butter,2.08,3.68,Africa
17,Algeria,Pork,0.0,0.0,Africa
18,Algeria,Poultry,7.42,7.970000000000001,Africa
19,Algeria,Rice,2.97,3.8,Africa
20,Algeria,Soybeans,0.0,0.0,Africa
21,Algeria,Wheat and Wheat Products,185.42,35.36,Africa
22,Angola,Beef,8.42,259.82,Africa
23,Angola,Eggs,1.11,1.02,Africa
24,Angola,Fish,15.239999999999998,24.33,Africa
25,Angola,Lamb & Goat,1.08,37.82,Africa
26,Angola,Milk - inc. cheese,12.3,17.52,Africa
27,Angola,Nuts inc. Peanut Butter,2.26,4.0,Africa
28,Angola,Pork,8.89,31.47,Africa
29,Angola,Poultry,17.330000000000002,18.62,Africa
30,Angola,Rice,8.12,10.39,Africa
31,Angola,Soybeans,0.52,0.23,Africa
32,Angola,Wheat and Wheat Products,40.720000000000006,7.77,Africa
33,Argentina,Beef,55.48,1712.0,South America
34,Argentina,Eggs,11.39,10.46,South America
35,Argentina,Fish,4.359999999999999,6.96,South America
36,Argentina,Lamb & Goat,1.56,54.63,South America
37,Argentina,Milk - inc. cheese,195.08,277.87,South America
38,Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,South America
39,Argentina,Pork,10.51,37.2,South America
40,Argentina,Poultry,38.66,41.53,South America
41,Argentina,Rice,8.77,11.22,South America
42,Argentina,Soybeans,0.0,0.0,South America
43,Argentina,Wheat and Wheat Products,103.11,19.66,South America
44,Armenia,Beef,19.66,606.6700000000001,Asia
45,Armenia,Eggs,11.69,10.739999999999998,Asia
46,Armenia,Fish,4.359999999999999,6.96,Asia
47,Armenia,Lamb & Goat,3.02,105.76,Asia
48,Armenia,Milk - inc. cheese,209.03,297.74,Asia
49,Armenia,Nuts inc. Peanut Butter,2.55,4.51,Asia
50,Armenia,Pork,9.67,34.230000000000004,Asia
51,Armenia,Poultry,13.35,14.34,Asia
52,Armenia,Rice,3.18,4.07,Asia
53,Armenia,Soybeans,0.0,0.0,Asia
54,Armenia,Wheat and Wheat Products,130.6,24.91,Asia
55,Australia,Beef,33.86,1044.85,Oceania
56,Australia,Eggs,8.51,7.819999999999999,Oceania
57,Australia,Fish,17.69,28.25,Oceania
58,Australia,Lamb & Goat,9.87,345.65000000000003,Oceania
59,Australia,Milk - inc. cheese,234.49,334.01,Oceania
60,Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,Oceania
61,Australia,Pork,24.14,85.44000000000001,Oceania
62,Australia,Poultry,46.120000000000005,49.54,Oceania
63,Australia,Rice,11.03,14.12,Oceania
64,Australia,Soybeans,0.19,0.09,Oceania
65,Australia,Wheat and Wheat Products,70.46000000000001,13.44,Oceania
66,Austria,Beef,17.14,528.9,Europe
67,Austria,Eggs,14.68,13.49,Europe
68,Austria,Fish,12.16,19.42,Europe
69,Austria,Lamb & Goat,1.16,40.620000000000005,Europe
