,City1_State,City1,City2_State,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
0,South Australia,ADELAIDE,Northern Territory,ALICE SPRINGS,30682,15743,143,81.8,1316,20717788.0,25327369.0,19246,1984,1
1,South Australia,ADELAIDE,Queensland,BRISBANE,30682,3781,32,89.8,1622,6132782.0,6829379.0,4210,1984,1
2,South Australia,ADELAIDE,Queensland,CANBERRA,30682,1339,12,94.7,972,1301508.0,1374348.0,1414,1984,1
3,South Australia,ADELAIDE,Northern Territory,DARWIN,30682,3050,33,66.8,2619,7987950.0,11958009.0,4566,1984,1
4,South Australia,ADELAIDE,Northern Territory,GOLD COAST,30682,1596,16,88.5,1607,2564772.0,2898047.0,1803,1984,1
5,South Australia,ADELAIDE,Victoria,MELBOURNE,30682,50817,711,66.3,643,32675331.0,49284059.0,76647,1984,1
6,South Australia,ADELAIDE,Western Australia,PERTH,30682,18670,144,85.1,2120,39580400.0,46510458.0,21939,1984,1
7,South Australia,ADELAIDE,New South Wales,SYDNEY,30682,37401,358,80.8,1167,43646967.0,54018524.0,46288,1984,1
8,South Australia,ALBURY,New South Wales,SYDNEY,30682,11478,296,79.8,452,5188056.0,6501323.0,14383,1984,1
9,Northern Territory,ALICE SPRINGS,Northern Territory,DARWIN,30682,9035,89,71.2,1305,11790675.0,16559937.0,12690,1984,1
10,Northern Territory,ALICE SPRINGS,New South Wales,SYDNEY,30682,2896,31,75.8,2022,5855712.0,7725214.0,3821,1984,1
11,Queensland,BRISBANE,Queensland,CAIRNS,30682,1397,31,71.9,1391,1943227.0,2702680.0,1943,1984,1
12,Queensland,BRISBANE,Queensland,CANBERRA,30682,593,8,72.7,956,566908.0,779791.0,816,1984,1
13,Queensland,BRISBANE,Northern Territory,DARWIN,30682,2627,22,80.7,2852,7492204.0,9284020.0,3255,1984,1
14,Queensland,BRISBANE,Queensland,MACKAY,30682,192,15,48.2,797,153024.0,317477.0,398,1984,1
15,Queensland,BRISBANE,Victoria,MELBOURNE,30682,31791,324,84.4,1381,43903371.0,52018212.0,37667,1984,1
16,Queensland,BRISBANE,Western Australia,PERTH,30682,566,4,88.2,3615,2046090.0,2319830.0,642,1984,1
17,Queensland,BRISBANE,Western Australia,PROSERPINE,30682,7432,92,76.1,895,6651640.0,8740657.0,9766,1984,1
18,Queensland,BRISBANE,Queensland,ROCKHAMPTON,30682,21633,287,77.2,518,11205894.0,14515407.0,28022,1984,1
19,Queensland,BRISBANE,New South Wales,SYDNEY,30682,95027,990,73.7,753,71555331.0,97090001.0,128938,1984,1
20,Queensland,BRISBANE,Queensland,TOWNSVILLE,30682,35580,376,82,1112,39564960.0,48249951.0,43390,1984,1
21,Western Australia,BROOME,Western Australia,PERTH,30682,573,12,72.5,1677,960921.0,1325408.0,790,1984,1
22,Western Australia,CANBERRA,Victoria,MELBOURNE,30682,21763,323,60.5,470,10228610.0,16906793.0,35972,1984,1
23,Western Australia,CANBERRA,New South Wales,SYDNEY,30682,32529,562,56.4,236,7676844.0,13611426.0,57676,1984,1
24,New South Wales,COFFS HARBOUR,New South Wales,SYDNEY,30682,6731,166,79.8,443,2981833.0,3736633.0,8435,1984,1
25,Northern Territory,DARWIN,New South Wales,SYDNEY,30682,779,9,56.4,3155,2457745.0,4357704.0,1381,1984,1
26,Tasmania,DEVONPORT,Victoria,MELBOURNE,30682,13300,380,72.5,412,5479600.0,7558069.0,18345,1984,1
27,New South Wales,DUBBO,New South Wales,SYDNEY,30682,4708,136,64.1,310,1459480.0,2276880.0,7345,1984,1
28,New South Wales,GOLD COAST,New South Wales,SYDNEY,30682,42814,454,81.9,680,29113520.0,35547643.0,52276,1984,1
29,Tasmania,HOBART,Victoria,MELBOURNE,30682,35293,440,76.1,618,21811074.0,28661070.0,46377,1984,1
